编号 No.,学校名称(中文) School Name (Chinese),学校名称(英文) School Name (English),区域(中文) District (Chinese),区域(英文) District (English)
440,基督教小天使（锦丰）幼稚园,CHRISTIAN LITTLE ANGEL KINDERGARTEN  (KAM FUNG COURT),沙田区,Sha Tin
441,启思幼稚园（帝堡城）,CREATIVE KINDERGARTEN (CASTELLO),沙田区,Sha Tin
442,香港中文大学校友会联会张煊昌幼稚园,CUHK FEDERATION OF ALUMNI ASSOCIATIONS THOMAS CHEUNG KINDERGARTEN,沙田区,Sha Tin
443,基督教香港信义会颂安幼儿学校,ELCHK  CHUNG ON NURSERY SCHOOL,沙田区,Sha Tin
444,基督教香港信义会沙田信义幼稚园,ELCHK SHATIN LUTHERAN KINDERGARTEN,沙田区,Sha Tin
445,沙田灵光幼儿学校,EMMANUEL CHURCH SHATIN NURSERY SCHOOL,沙田区,Sha Tin
446,循理会白普理循理幼儿学校,FREE METHODIST CHURCH BRADBURY CHUN LEI NURSERY SCHOOL,沙田区,Sha Tin
447,恒安浸信会幼儿学校,HENG ON BAPTIST NURSERY SCHOOL,沙田区,Sha Tin
448,海福中英文幼稚园,HOLFORD ANGLO-CHINESE KINDERGARTEN,沙田区,Sha Tin
449,港九街坊妇女会孙方中幼稚园,HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG KINDERGARTEN,沙田区,Sha Tin
450,港九街坊妇女会孙方中幼稚园（穗禾苑）,HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG KINDERGARTEN (SUI WO COURT),沙田区,Sha Tin
451,港九街坊妇女会丁孙慧珠幼稚园,HONG KONG & KOWLOON KAIFONG WOMEN'S ASSOCIATION TING SUN HUI CHIU KINDERGARTEN,沙田区,Sha Tin
452,香港基督教服务处隽乐幼稚园（沙田）,HONG KONG CHRISTIAN SERVICE PARIO KINDERGARTEN (SHATIN),沙田区,Sha Tin
453,香港保护儿童会赛马会学心幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN THE JOCKEY CLUB HOK SAM NURSERY SCHOOL,沙田区,Sha Tin
454,香港基督教女青年会隆亨幼儿学校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION LUNG HANG NURSERY SCHOOL,沙田区,Sha Tin
455,合一堂单家传纪念幼稚园,HOP YAT CHURCH SHIN KA CHUEN MEMORIAL KINDERGARTEN,沙田区,Sha Tin
456,圣母无玷圣心幼稚园,IMMACULATE HEART OF MARY KINDERGARTEN,沙田区,Sha Tin
457,九龙城浸信会禧年幼稚园,KOWLOON CITY BAPTIST CHURCH HAY NIEN KINDERGARTEN,沙田区,Sha Tin
458,广林浸信会吕郭碧凤幼稚园,KWONG LAM BAPTIST LUI KWOK PAT FONG KINDERGARTEN,沙田区,Sha Tin
459,乐善堂李贤义幼稚园,LOK SIN TONG LEE YIN YEE KINDERGARTEN,沙田区,Sha Tin
460,乐善堂梁泳钊幼稚园,LOK SIN TONG STEPHEN LEUNG KINDERGARTEN,沙田区,Sha Tin
461,路德会爱心幼稚园,LOVING HEART LUTHERAN KINDERGARTEN,沙田区,Sha Tin
462,粤南信义会腓力堂爱邻幼儿学园,LUTHERAN PHILIP HOUSE OI LUN NURSERY SCHOOL,沙田区,Sha Tin
463,马鞍山灵粮幼稚园,MA ON SHAN LING LIANG KINDERGARTEN,沙田区,Sha Tin
464,美林邨道光幼稚园,MEI LAM ESTATE TO KWONG KINDERGARTEN,沙田区,Sha Tin
465,新九龙妇女会沙角幼儿园,NEW KOWLOON WOMEN ASSOCIATION SHA KOK NURSERY,沙田区,Sha Tin
466,新九龙妇女会新翠幼儿园,NEW KOWLOON WOMEN ASSOCIATION SUN CHUI NURSERY,沙田区,Sha Tin
467,新界妇孺福利会博康邨幼儿学校,NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION LIMITED POK HONG ESTATE NURSERY SCHOOL,沙田区,Sha Tin
468,平安福音堂幼稚园,PEACE EVANGELICAL CENTRE KINDERGARTEN,沙田区,Sha Tin
469,保良局冯梁结纪念幼稚园,PO LEUNG KUK FUNG LEUNG KIT MEMORIAL KINDERGARTEN,沙田区,Sha Tin
470,保良局吴多泰幼稚园,PO LEUNG KUK NG TOR TAI KINDERGARTEN,沙田区,Sha Tin
471,保良局唐楚男（沥源）幼稚园,PO LEUNG KUK TONG CHOR NAM (LEK YUEN) KINDERGARTEN,沙田区,Sha Tin
472,圣公会灵风堂幼稚园,S.K.H. HOLY SPIRIT CHURCH  KINDERGARTEN,沙田区,Sha Tin
473,顺德联谊总会梁李秀娱沙田幼稚园,SHUN TAK FRATERNAL ASSOCIATION LEUNG LEE SAU YU (SHATIN) KINDERGARTEN,沙田区,Sha Tin
474,香港神托会培真幼稚园,STEWARDS POOI CHUN KINDERGARTEN,沙田区,Sha Tin
475,香港浸信会联会利安幼儿园,THE BAPTIST CONVENTION OF HONG KONG LEE ON NURSERY,沙田区,Sha Tin
476,中华基督教会沙田堂博康幼稚园,"THE CHURCH OF CHRIST IN CHINA, SHATIN CHURCH POK HONG KINDERGARTEN",沙田区,Sha Tin
477,救世军中原慈善基金幼稚园,THE SALVATION ARMY CENTALINE CHARITY FUND KINDERGARTEN,沙田区,Sha Tin
478,救世军乙明幼儿学校,THE SALVATION ARMY JAT MIN NURSERY SCHOOL,沙田区,Sha Tin
479,救世军水泉澳幼稚园,THE SALVATION ARMY SHUI CHUEN O KINDERGARTEN,沙田区,Sha Tin
480,救世军田家炳幼稚园,THE SALVATION ARMY TIN KA PING KINDERGARTEN,沙田区,Sha Tin
481,救世军禾輋幼儿学校,THE SALVATION ARMY WO CHE NURSERY SCHOOL,沙田区,Sha Tin
482,真理浸信会荣光幼儿园,TRUTH BAPTIST CHURCH GLORY NURSERY,沙田区,Sha Tin
483,真理浸信会恩典幼稚园,TRUTH BAPTIST CHURCH GRACE KINDERGARTEN,沙田区,Sha Tin
484,真理浸信会幼稚园,TRUTH BAPTIST CHURCH KINDERGARTEN,沙田区,Sha Tin
485,真理浸信会碧涛幼稚园,TRUTH BAPTIST CHURCH PICTORIAL KINDERGARTEN,沙田区,Sha Tin
486,崇真会美善幼稚园（马鞍山）,TSUNG TSIN MISSION GRACEFUL KINDERGARTEN (MA ON SHAN),沙田区,Sha Tin
487,基督教香港崇真会安颂幼稚园,TSUNG TSIN MISSION OF HONG KONG ON CHUNG KINDERGARTEN,沙田区,Sha Tin
488,东华三院马陈景霞幼稚园,TUNG WAH GROUP OF HOSPITALS CHAN KING HAR KINDERGARTEN,沙田区,Sha Tin
489,东华三院廖恩德纪念幼稚园,TUNG WAH GROUP OF HOSPITALS LIU YAN TAK MEMORIAL KINDERGARTEN,沙田区,Sha Tin
490,东华三院吕冯凤纪念幼稚园,TUNG WAH GROUP OF HOSPITALS LUI FUNG FAUNG MEMORIAL KINDERGARTEN,沙田区,Sha Tin
491,东华三院南九龙狮子会幼儿园,TWGHS LIONS CLUB OF SOUTH KOWLOON NURSERY SCHOOL,沙田区,Sha Tin
492,仁爱堂郑丁港夫人幼稚园,YAN OI TONG MRS CHENG TING KONG KINDERGARTEN,沙田区,Sha Tin
493,耀荣中英文幼稚园,YIU WING ANGLO-CHINESE KINDERGARTEN,沙田区,Sha Tin
494,耀荣中英文幼稚园（愉田苑）,YUE TIN COURT YIU WING ANGLO-CHINESE KINDERGARTEN,沙田区,Sha Tin
495,雅丽斯英文幼稚园,AGNES ENGLISH KINDERGARTEN,屯门区,Tuen Mun
496,迦南幼稚园（景峰花园）,CANNAN KINDERGARTEN (PRIME VIEW GARDEN),屯门区,Tuen Mun
497,青松湖景幼稚园,CHING CHUNG WU KING KINDERGARTEN,屯门区,Tuen Mun
498,启思幼稚园（爱琴）,CREATIVE KINDERGARTEN (AEGEAN COAST),屯门区,Tuen Mun
499,启思幼稚园（屯门分校）,CREATIVE KINDERGARTEN (TUEN MUN BRANCH),屯门区,Tuen Mun
500,路德会富泰幼儿园,FU TAI LUTHERAN DAY NURSERY,屯门区,Tuen Mun
501,佳宝幼稚园（屯门分校）,GUIDEPOSTS KINDERGARTEN (TUEN MUN BRANCH),屯门区,Tuen Mun
502,佳宝幼稚园第二分校（建生邨）,GUIDEPOSTS KINDERGARTEN 2ND BRANCH (KIN SANG ESTATE),屯门区,Tuen Mun
503,香港圣公会青山圣彼得堂青云路幼稚园,HKSKH ST PETER'S CHURCH CASTLE PEAK TSING WUN ROAD KINDERGARTEN,屯门区,Tuen Mun
504,中华基督教会屯门堂何福堂幼稚园,"HOH FUK TONG KINDERGARTEN (TUEN MUN CHURCH, THE CHURCH OF CHRIST IN CHINA, HONG KONG COUNCIL)",屯门区,Tuen Mun
505,香港圣公会圣西门良景幼儿学校,HONG KONG SHENG KUNG HUI ST SIMON'S LEUNG KING NURSERY SCHOOL,屯门区,Tuen Mun
506,香港圣公会圣西门大兴幼儿学校,HONG KONG SHENG KUNG HUI ST SIMON'S TAI HING NURSERY SCHOOL,屯门区,Tuen Mun
507,香港保护儿童会蝴蝶邨幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN BUTTERFLY ESTATE NURSERY SCHOOL,屯门区,Tuen Mun
508,香港基督教女青年会安定幼儿学校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION ON TING NURSERY SCHOOL,屯门区,Tuen Mun
509,晶晶幼稚园（屯门校）,JING JING KINDERGARTEN (TUEN MUN BRANCH),屯门区,Tuen Mun
510,珈琳幼稚园（屯门分校）,KARLAM KINDERGARTEN (TUEN MUN BRANCH),屯门区,Tuen Mun
511,建生浸信会白普理幼儿园,KIN SANG BAPTIST CHURCH BRADBURY PRE-SCHOOL,屯门区,Tuen Mun
512,路德会建生幼稚园,KIN SANG LUTHERAN KINDERGARTEN,屯门区,Tuen Mun
513,路德会良景幼儿园,LEUNG KING LUTHERAN DAY NURSERY,屯门区,Tuen Mun
514,小牛顿中英文幼稚园,LITTLE NEWTON ANGLO-CHINESE KINDERGARTEN,屯门区,Tuen Mun
515,乐善堂张叶茂清幼稚园,LOK SIN TONG CHEUNG YIP MOU CHING KINDERGARTEN,屯门区,Tuen Mun
516,乐善堂邓德濂幼稚园,LOK SIN TONG TANG TAK LIM KINDERGARTEN,屯门区,Tuen Mun
517,路德会吕祥光幼稚园,LUI CHEUNG KWONG LUTHERAN KINDERGARTEN,屯门区,Tuen Mun
518,世界龙冈学校朱瑞兰（中英文）幼稚园,LUNG KONG WORLD FEDERATION SCHOOL LIMITED CHU SUI LAN ANGLO-CHINESE KINDERGARTEN,屯门区,Tuen Mun
519,美乐中英文幼稚园,MELODY ANGLO-CHINESE KINDERGARTEN,屯门区,Tuen Mun
520,美乐中英文幼稚园（景峰花园分校）,MELODY ANGLO-CHINESE KINDERGARTEN (PRIME VIEW GARDEN BRANCH),屯门区,Tuen Mun
521,美乐幼儿园（美乐花园校）,MELODY NURSERY (MELODY GARDEN),屯门区,Tuen Mun
522,保良局蝴蝶湾幼稚园,PO LEUNG KUK BUTTERFLY BAY KINDERGARTEN,屯门区,Tuen Mun
523,保良局蔡冠深幼稚园,PO LEUNG KUK CHOI KOON SHUM KINDERGARTEN,屯门区,Tuen Mun
524,保良局田家炳兆康幼稚园,PO LEUNG KUK TIN KA PING SIU HONG KINDERGARTEN,屯门区,Tuen Mun
525,保良局友爱幼稚园,PO LEUNG KUK YAU OI KINDERGARTEN,屯门区,Tuen Mun
526,保良局易桂芳幼稚园,PO LEUNG KUK YICK KWAI FONG KINDERGARTEN,屯门区,Tuen Mun
527,天后中英文幼稚园,REGINA COELI ANGLO-CHINESE KINDERGARTEN,屯门区,Tuen Mun
528,天后中英文幼稚园（二校）,REGINA COELI ANGLO-CHINESE KINDERGARTEN (SECOND BRANCH),屯门区,Tuen Mun
529,圣公会青山圣彼得堂兆麟苑幼稚园,S.K.H. ST. PETER'S CHURCH CASTLE PEAK SIU LUN COURT KINDERGARTEN,屯门区,Tuen Mun
530,圣公会青山圣彼得堂幼稚园,S.K.H. ST. PETER'S CHURCH KINDERGARTEN (CASTLE PEAK),屯门区,Tuen Mun
531,圣公会青山圣彼得堂山景邨幼稚园,S.K.H. ST. PETER'S CHURCH SHAN KING ESTATE KINDERGARTEN,屯门区,Tuen Mun
532,山景邨浸信会幼稚园,SHAN KING ESTATE BAPTIST KINDERGARTEN,屯门区,Tuen Mun
533,顺德联谊总会屯门梁李秀娱幼稚园,SHUN TAK FRATERNAL ASSOCIATION TUEN MUN LEUNG LEE SAU YU KINDERGARTEN,屯门区,Tuen Mun
534,东华三院高德根纪念幼稚园,T.W.G.HS. KO TECK KIN MEMORIAL KINDERGARTEN,屯门区,Tuen Mun
535,香港浸信会联会宝田幼稚园,THE BAPTIST CONVENTION OF HONG KONG PO TIN KINDERGARTEN,屯门区,Tuen Mun
536,中华基督教会屯门堂幼稚园,THE CHURCH OF CHRIST IN CHINA TUEN MUN CHURCH KINDERGARTEN,屯门区,Tuen Mun
537,中华基督教会屯门堂幼稚园二校,THE CHURCH OF CHRIST IN CHINA TUEN MUN CHURCH NO. 2 KINDERGARTEN,屯门区,Tuen Mun
538,香海莲社兆禧苑幼稚园,THE LOTUS ASSOCIATION OF HONG KONG SIU HEI COURT KINDERGARTEN,屯门区,Tuen Mun
539,救世军三圣幼儿学校,THE SALVATION ARMY SAM SHING NURSERY SCHOOL,屯门区,Tuen Mun
540,田景邨浸信会吕郭碧凤幼稚园,TIN KING ESTATE BAPTIST LUI KWOK PAT FONG KINDERGARTEN,屯门区,Tuen Mun
541,真理浸信会富泰幼稚园,TRUTH BAPTIST CHURCH EMPOWER KINDERGARTEN,屯门区,Tuen Mun
542,东华三院李黄庆祥纪念幼稚园,TUNG WAH GROUP OF HOSPITALS LEE WONG HING-CHEUNG MEMORIAL KINDERGARTEN,屯门区,Tuen Mun
543,东华三院方谭远良幼儿园,TWGHS  FONG TAM YUEN LEUNG NURSERY SCHOOL,屯门区,Tuen Mun
544,东华三院马陈家欢幼稚园,TWGHS KATHERINE MA KINDERGARTEN,屯门区,Tuen Mun
545,东华三院田家炳幼儿园,TWGHS TIN KA PING NURSERY SCHOOL,屯门区,Tuen Mun
546,世佛会观自在幼儿学校,W.F.B. AVALOKITESVARA NURSERY SCHOOL,屯门区,Tuen Mun
547,世佛会真言宗幼儿学校,W.F.B. MANTRA INSTITUTE NURSERY SCHOOL,屯门区,Tuen Mun
548,仁济医院山景幼稚园,YAN CHAI HOSPITAL SHAN KING KINDERGARTEN,屯门区,Tuen Mun
549,仁济医院友爱幼稚园,YAN CHAI HOSPITAL YAU OI KINDERGARTEN,屯门区,Tuen Mun
550,仁济医院严徐玉珊幼稚园,YAN CHAI HOSPITAL YIM TSUI YUK SHAN KINDERGARTEN,屯门区,Tuen Mun
551,仁爱堂叶德海幼稚园,YAN OI TONG ALLAN YAP KINDERGARTEN,屯门区,Tuen Mun
552,仁爱堂刘皇发幼稚园,YAN OI TONG LAU WONG FAT KINDERGARTEN,屯门区,Tuen Mun
553,仁爱堂颜宝铃幼稚园,YAN OI TONG NGAN PO LING KINDERGARTEN,屯门区,Tuen Mun
554,仁爱堂田家炳幼稚园,YAN OI TONG TIN KA PING KINDERGARTEN,屯门区,Tuen Mun
555,基督教宣道会太和幼稚园,CHRISTIAN & MISSIONARY ALLIANCE CHURCH TAI WO KINDERGARTEN,大埔区,Tai Po
556,基督教宣道会宝湖幼儿学校,CHRISTIAN & MISSIONARY ALLIANCE PLOVER COVE NURSERY SCHOOL,大埔区,Tai Po
557,中国基督教播道会宝雅幼儿学校,EVANGELICAL FREE CHURCH OF CHINA - PO NGA NURSERY SCHOOL,大埔区,Tai Po
558,富亨浸信会吕郭碧凤幼稚园,FU HENG BAPTIST LUI KWOK PAT FONG KINDERGARTEN,大埔区,Tai Po
559,香港保护儿童会林护幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN LAM WOO NURSERY SCHOOL,大埔区,Tai Po
560,香港道教联合会圆玄幼稚园（富善邨）,HONG KONG TAOIST ASSOCIATION YUEN YUEN KINDERGARTEN (FU SHIN ESTATE),大埔区,Tai Po
561,李荣基纪念中英文幼稚园,LEE ANDREW MEMORIAL ANGLO-CHINESE KINDERGARTEN,大埔区,Tai Po
562,明雅中英文幼稚园,MINK ANGLO-CHINESE KINDERGARTEN,大埔区,Tai Po
563,竹园区神召会太和康乐幼儿学校,PENTECOSTAL CHURCH OF HONG KONG TAI WO NURSERY SCHOOL,大埔区,Tai Po
564,保良局刘进幼稚园,PO LEUNG KUK LAU CHUN KINDERGARTEN,大埔区,Tai Po
565,保良局邓碧云纪念幼稚园,PO LEUNG KUK TANG BIK WAN MEMORIAL KINDERGARTEN,大埔区,Tai Po
566,圣公会救主堂幼稚园,SHENG KUNG HUI THE CHURCH OF OUR SAVIOUR KINDERGARTEN,大埔区,Tai Po
567,大埔浸信会幼稚园,TAI PO BAPTIST KINDERGARTEN,大埔区,Tai Po
568,大埔浸信会幼稚园运头塘邨分校,TAI PO BAPTIST KINDERGARTEN WAN TAU TONG ESTATE BRANCH,大埔区,Tai Po
569,天主教大埔幼稚园,TAI PO CATHOLIC KINDERGARTEN,大埔区,Tai Po
570,大埔商会幼稚园,TAI PO MERCHANTS ASSOCIATION KINDERGARTEN,大埔区,Tai Po
571,大埔循道卫理幼稚园,TAI PO METHODIST KINDERGARTEN,大埔区,Tai Po
572,大埔礼贤会幼稚园（安富道校址）,TAI PO RHENISH CHURCH KINDERGARTEN (LOCATION: ON FU ROAD),大埔区,Tai Po
573,大埔礼贤会幼稚园（汀角路校址）,TAI PO RHENISH CHURCH KINDERGARTEN (LOCATION: TINGKOK ROAD),大埔区,Tai Po
574,救世军大元幼儿学校,THE SALVATION ARMY TAI YUEN NURSERY SCHOOL,大埔区,Tai Po
575,基督教香港崇真会安仁幼儿学校,TSUNG TSIN MISSION OF HONG KONG ON YAN NURSERY SCHOOL,大埔区,Tai Po
576,东华三院洪王家琪幼稚园,TUNG WAH GROUP OF HOSPITALS HUNG WONG KAR GEE KINDERGARTEN,大埔区,Tai Po
577,东华三院方丽明幼儿园,TWGHS FONG LAI MING NURSERY SCHOOL,大埔区,Tai Po
578,仁爱堂张慕良夫人幼稚园,YAN OI TONG MRS AUGUSTA CHEUNG KINDERGARTEN,大埔区,Tai Po
579,６１１生命树幼稚园,611 TREE OF LIFE KINDERGARTEN,荃湾区,Tsuen Wan
580,蓝如溪盛成皿教育基金边耀良幼稚园,ALICE LAN & VERA SHEN EDUCATION FUND GORDON PEI KINDERGARTEN,荃湾区,Tsuen Wan
581,天主教领报幼稚园,ANNUNCIATION CATHOLIC KINDERGARTEN,荃湾区,Tsuen Wan
582,神召会麦嘉伦纪念幼稚园,ASSEMBLY OF GOD MCLEOD MEMORIAL KINDERGARTEN,荃湾区,Tsuen Wan
583,迦南幼稚园（海滨花园）,CANNAN KINDERGARTEN (RIVIERA GARDEN),荃湾区,Tsuen Wan
584,迦南幼稚园（荃湾）,CANNAN KINDERGARTEN (TSUEN WAN),荃湾区,Tsuen Wan
585,世德幼稚园（梨木树）,CASTAR KINDERGARTEN (LEI MUK SHUE),荃湾区,Tsuen Wan
586,基督教安得儿幼稚园,CHRISTIAN ADRIANNE KINDERGARTEN,荃湾区,Tsuen Wan
587,基督教安得儿幼稚园（湾景）,CHRISTIAN ADRIANNE KINDERGARTEN (BAYVIEW),荃湾区,Tsuen Wan
588,全完堂幼稚园,CHUEN YUEN CHURCH KINDERGARTEN,荃湾区,Tsuen Wan
589,启思幼稚园（马湾）,CREATIVE KINDERGARTEN (MA WAN),荃湾区,Tsuen Wan
590,福来邨锦全幼稚园,FUK LOY CHUEN KAM CHUEN KINDERGARTEN,荃湾区,Tsuen Wan
591,香港灵粮堂荃湾幼稚园,HONG KONG LING LIANG CHURCH TSUEN WAN KINDERGARTEN,荃湾区,Tsuen Wan
592,香港保护儿童会深井幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN SHAM TSENG NURSERY SCHOOL,荃湾区,Tsuen Wan
593,香港道教联合会圆玄幼稚园,HONG KONG TAOIST ASSOCIATION YUEN YUEN KINDERGARTEN,荃湾区,Tsuen Wan
594,香港基督教女青年会荃湾幼儿学校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION TSUEN WAN NURSERY SCHOOL,荃湾区,Tsuen Wan
595,萌儿幼稚园,MOE KINDERGARTEN,荃湾区,Tsuen Wan
596,满乐幼稚园,MOON LOK KINDERGARTEN,荃湾区,Tsuen Wan
597,栢基海韵幼稚园,PARKVIEW RHINE GARDEN PRE-SCHOOL,荃湾区,Tsuen Wan
598,保良局志沛幼稚园,PO LEUNG KUK CHI PUI KINDERGARTEN,荃湾区,Tsuen Wan
599,保良局方谭远良幼稚园,PO LEUNG KUK FONG TAM YUEN LEUNG KINDERGARTEN,荃湾区,Tsuen Wan
600,圣文嘉幼稚园（荃湾）,ST MONICA'S KINDERGARTEN (TSUEN WAN),荃湾区,Tsuen Wan
601,圣安多尼中英文幼稚园（丽城花园）,ST. ANTHONY'S KINDERGARTEN (BELVEDERE GARDEN),荃湾区,Tsuen Wan
602,圣文嘉中英文幼稚园（荃湾）,ST. MONICA'S ANGLO-CHINESE KINDERGARTEN (TSUEN WAN),荃湾区,Tsuen Wan
603,中华基督教会福幼幼稚园,THE CHURCH OF CHRIST IN CHINA FUK YAU KINDERGARTEN,荃湾区,Tsuen Wan
604,中华基督教会福幼第二幼稚园,THE CHURCH OF CHRIST IN CHINA FUK YAU NO. II KINDERGARTEN,荃湾区,Tsuen Wan
605,救世军梨木树幼儿学校,THE SALVATION ARMY LEI MUK SHUE NURSERY SCHOOL,荃湾区,Tsuen Wan
606,救世军吴国伟纪念幼稚园,THE SALVATION ARMY NG KWOK WAI MEMORIAL KINDERGARTEN,荃湾区,Tsuen Wan
607,救世军荃湾幼儿学校,THE SALVATION ARMY TSUEN WAN NURSERY SCHOOL,荃湾区,Tsuen Wan
608,荃湾浸信会幼稚园,TSUEN WAN BAPTIST CHURCH KINDERGARTEN,荃湾区,Tsuen Wan
609,荃湾圣母幼稚园,TSUEN WAN OUR LADY KINDERGARTEN,荃湾区,Tsuen Wan
610,荃湾圣多明尼幼稚园,TSUEN WAN ST. DOMINIC SAVIO KINDERGARTEN,荃湾区,Tsuen Wan
611,仁济医院蔡百泰幼稚园,YAN CHAI HOSPITAL CHOI PAT TAI KINDERGARTEN,荃湾区,Tsuen Wan
612,香港基督教服务处时代幼儿学校,HONG KONG CHRISTIAN SERVICE TIMES NURSERY SCHOOL,湾仔区,Wan Chai
613,香港灵粮堂幼稚园,HONG KONG LING LIANG CHURCH KINDERGARTEN,湾仔区,Wan Chai
614,卡莎迪曼幼稚园,KHALSA DIWAN KINDERGARTEN,湾仔区,Wan Chai
615,穆斯林幼稚园,MUSLIM COMMUNITY KINDERGARTEN,湾仔区,Wan Chai
616,爱群道浸信会吕郭碧凤幼稚园,OI KWAN ROAD BAPTIST CHURCH LUI KWOK PAT FONG KINDERGARTEN,湾仔区,Wan Chai
617,保良局朱李月华幼稚园,PO LEUNG KUK CHU LEE YUET WAH KINDERGARTEN,湾仔区,Wan Chai
618,保良局庄启程幼稚园,PO LEUNG KUK VICWOOD CHONG KEE TING KINDERGARTEN,湾仔区,Wan Chai
619,宝血幼稚园,PRECIOUS BLOOD KINDERGARTEN,湾仔区,Wan Chai
620,圣公会圣基道幼儿园（湾仔）,S K H ST CHRISTOPHER'S NURSERY (WAN CHAI),湾仔区,Wan Chai
621,圣雅各福群会铜锣湾幼稚园,ST JAMES' SETTLEMENT CAUSEWAY BAY  KINDERGARTEN,湾仔区,Wan Chai
622,圣雅各福群会麦洁莲幼稚园,ST JAMES' SETTLEMENT KATHLEEN MCDOUALL KINDERGARTEN,湾仔区,Wan Chai
623,天主教圣玛加利大幼稚园,ST. MARGARET MARY'S CATHOLIC KINDERGARTEN,湾仔区,Wan Chai
624,香港小童群益会乐致幼稚园（湾仔）,THE BOYS' AND GIRLS' CLUBS ASSOCIATION OF HONG KONG CHEERLAND KINDERGARTEN (WANCHAI),湾仔区,Wan Chai
625,中华基督教会湾仔堂幼稚园,THE CHURCH OF CHRIST IN CHINA WANCHAI CHURCH KINDERGARTEN,湾仔区,Wan Chai
626,东华三院李贤义伉俪幼儿园 (旧校名称: 东华三院湾仔幼稚园),TUNG WAH GROUP OF HOSPITALS MR. & MRS. LEE YIN YEE NURSERY SCHOOL (Name in the past: TUNG WAH GROUP OF HOSPITALS WAN CHAI KINDERGARTEN),湾仔区,Wan Chai
627,第一幼稚园,A-ONE KINDERGARTEN,黄大仙区,Wong Tai Sin
628,佛教傅康幼稚园,BUDDHIST FOO HONG KINDERGARTEN,黄大仙区,Wong Tai Sin
629,明爱启幼幼儿学校,CARITAS KAI YAU NURSERY SCHOOL,黄大仙区,Wong Tai Sin
630,基督教宣道会富山幼儿学校,CHRISTIAN & MISSIONARY ALLIANCE FU SHAN NURSERY SCHOOL,黄大仙区,Wong Tai Sin
631,基督教布道中心乐富幼稚园,CHRISTIAN EVANGELICAL CENTRE LOK FU KINDERGARTEN,黄大仙区,Wong Tai Sin
632,钻石山灵粮幼稚园,DIAMOND HILL LING LIANG KINDERGARTEN,黄大仙区,Wong Tai Sin
633,基督教中国布道会恩恩创意幼稚园,EVANGELIZE CHINA FELLOWSHIP BLESSINGS CREATIVITY KINDERGARTEN,黄大仙区,Wong Tai Sin
634,五邑工商总会张祝珊幼稚园,FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION CHEUNG CHUK SHAN KINDERGARTEN,黄大仙区,Wong Tai Sin
635,五邑工商总会幼稚园,FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION KINDERGARTEN,黄大仙区,Wong Tai Sin
636,循道卫理联合教会主恩堂幼稚园,GRACE METHODIST CHURCH KINDERGARTEN,黄大仙区,Wong Tai Sin
637,基督教恩苗东九龙幼稚园,GRACEFIELD EAST KOWLOON CHRISTIAN KINDERGARTEN,黄大仙区,Wong Tai Sin
638,啬色园主办可立幼稚园,HO LAP KINDERGARTEN (SPONSORED BY SIK SIK YUEN),黄大仙区,Wong Tai Sin
639,啬色园主办可德幼稚园,HO TAK KINDERGARTEN (SPONSORED BY SIK SIK YUEN),黄大仙区,Wong Tai Sin
640,港澳信义会锡安纪念幼稚园,HONG KONG AND MACAU LUTHERAN CHURCH SHEK ON MEMORIAL KINDERGARTEN,黄大仙区,Wong Tai Sin
641,香港伯特利教会基甸幼稚园,HONG KONG BETHEL CHURCH GIDEON KINDERGARTEN,黄大仙区,Wong Tai Sin
642,香港幼稚园协会幼儿学校,HONG KONG KINDERGARTEN ASSOCIATION PRE-SCHOOL,黄大仙区,Wong Tai Sin
643,香港道教联合会圆玄幼稚园（东头邨）,HONG KONG TAOIST ASSOCIATION YUEN YUEN KINDERGARTEN (TUNG TAU ESTATE),黄大仙区,Wong Tai Sin
644,香港基督教女青年会彩云幼儿学校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION CHOI WAN NURSERY SCHOOL,黄大仙区,Wong Tai Sin
645,香港基督教女青年会信望幼儿学校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION FAITH HOPE NURSERY SCHOOL,黄大仙区,Wong Tai Sin
646,永乐创新英文幼稚园,JONATHAN INNOVATIVE ENGLISH KINDERGARTEN,黄大仙区,Wong Tai Sin
647,天主教甘霖幼稚园,KAM LAM CATHOLIC KINDERGARTEN,黄大仙区,Wong Tai Sin
648,九龙城浸信会慈爱幼稚园,KOWLOON CITY BAPTIST CHURCH TSZ OI KINDERGARTEN,黄大仙区,Wong Tai Sin
649,乐富礼贤会幼稚园,LOK FU RHENISH CHURCH KINDERGARTEN,黄大仙区,Wong Tai Sin
